epoch,accuracy,jacard_coef,loss,val_accuracy,val_jacard_coef,val_loss
0,0.17128591239452362,0.10736793279647827,0.9696247577667236,0.17481549084186554,0.10924975574016571,0.9638481140136719
1,0.23044921457767487,0.12258946895599365,0.965441882610321,0.2556408941745758,0.13863804936408997,0.9574698805809021
2,0.31017422676086426,0.17756131291389465,0.9576723575592041,0.28858086466789246,0.15876135230064392,0.953406572341919
3,0.3224879205226898,0.1900874823331833,0.955554187297821,0.3232225179672241,0.18307068943977356,0.9496018886566162
4,0.3260248005390167,0.19223865866661072,0.9544528126716614,0.34214258193969727,0.1872456818819046,0.9485383033752441
5,0.3352268934249878,0.19861674308776855,0.9528524875640869,0.33092641830444336,0.180912584066391,0.9478530287742615
6,0.33109626173973083,0.19665682315826416,0.9527024626731873,0.3395531177520752,0.2030699998140335,0.9430117011070251
7,0.3382968008518219,0.20227015018463135,0.9512000679969788,0.3589690029621124,0.2129398137331009,0.9403982162475586
8,0.3332488238811493,0.20037241280078888,0.9506738185882568,0.3926738202571869,0.23378829658031464,0.9412240982055664
9,0.3426715135574341,0.20507363975048065,0.9483603835105896,0.354023814201355,0.20397129654884338,0.9399399757385254
10,0.35182932019233704,0.21194307506084442,0.9487841129302979,0.36806222796440125,0.215429425239563,0.9387605786323547
11,0.32015395164489746,0.18816570937633514,0.9511569142341614,0.36211901903152466,0.20983457565307617,0.9417282938957214
12,0.3535764515399933,0.211050346493721,0.947426974773407,0.35991862416267395,0.22873997688293457,0.9392780661582947
13,0.35932424664497375,0.21948401629924774,0.9464102387428284,0.39524635672569275,0.23367361724376678,0.9352337718009949
14,0.36678627133369446,0.22699013352394104,0.9444045424461365,0.3787936270236969,0.24118027091026306,0.9357077479362488
15,0.37176889181137085,0.23088368773460388,0.9435773491859436,0.4151570200920105,0.2536813020706177,0.9403436779975891
16,0.36595678329467773,0.2225324660539627,0.9424343705177307,0.40619102120399475,0.2507459223270416,0.9311001300811768
17,0.39246058464050293,0.24455638229846954,0.9385891556739807,0.40829896926879883,0.25513964891433716,0.9307528138160706
18,0.371550053358078,0.2294473648071289,0.9398108124732971,0.4009893238544464,0.2510559856891632,0.9309313893318176
19,0.40607592463493347,0.25465255975723267,0.9355847239494324,0.3907865881919861,0.24196219444274902,0.9341545104980469
20,0.37045517563819885,0.22730886936187744,0.9429858326911926,0.38966459035873413,0.24267081916332245,0.9329471588134766
21,0.40267205238342285,0.25255370140075684,0.9373330473899841,0.41352149844169617,0.2600436806678772,0.9316789507865906
22,0.405254602432251,0.2558732330799103,0.9341261982917786,0.43149805068969727,0.2766910195350647,0.9278111457824707
23,0.42716097831726074,0.27364230155944824,0.9319825768470764,0.4201677143573761,0.26847538352012634,0.9272230267524719
24,0.43054601550102234,0.2759227752685547,0.9321441054344177,0.40351706743240356,0.2535163462162018,0.9287981390953064
25,0.39655208587646484,0.24752166867256165,0.936947762966156,0.4029938876628876,0.2522544264793396,0.9333181977272034
26,0.42104068398475647,0.2687201499938965,0.9321359992027283,0.4230397045612335,0.27024728059768677,0.9271454215049744
